# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = model_code_5x463_model
# start_datetime = 2026-03-04 06:24:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/lukew/AppData/Local/Temp/Rtmp6HfTLc/standata-35b4146417c6.json
# init = 2 (Default)
# random
#   seed = 1483992606
# output
#   file = C:/Users/lukew/AppData/Local/Temp/Rtmp6HfTLc/model_code_5.3-202603040024-1-21cdbe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = C:/Users/lukew/AppData/Local/Temp/Rtmp6HfTLc/model_code_5.3-profile-202603040024-1-979bcf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --name=model_code_5.3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1,b2,sigma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
# Adaptation terminated
# Step size = 0.478918
# Diagonal elements of inverse mass matrix:
# 0.0104061, 0.0276258, 0.028271, 0.0104474
-16.312501,0.89583625,0.47891757,2,3,0,17.124103,0.044586105,-0.03458557,-0.645838,0.92129763,-1.7120746,-1.5626112,-0.94890452,-1.6786651,-1.0444407,-1.26507,-1.3249866,-0.85332055,-0.83764125,-1.012396,-1.3021933,-0.89878865,-4.7179271,-0.98454866,-0.9779839,-0.84178091,-0.84010433,-1.3382415,-1.0493314,-2.9497445,-0.84265501,-0.85012853,-0.8531648,-1.7098017,-1.0431174,-0.92999402,-1.0257163,-1.2896211,-1.0074749,-1.6976206,-0.8437492,-1.0167153,-0.84401515,-1.8374606,-0.83840122,-1.2517828,-0.89261253,-1.0746587,-1.2778549,-1.173092,-0.92435136,-0.95396111,-0.89144536,-1.5591173,-0.8945316,-0.88793938,-0.8389825,-0.84202702,-1.1303053,-1.0316509
-15.829148,0.95253507,0.47891757,2,7,0,16.971297,0.035092037,-0.012873805,-0.691982,0.83484292,-1.7712454,-1.5354577,-0.87412878,-1.6125225,-0.95583235,-1.2320383,-1.2280164,-0.75542697,-0.74958778,-0.92180292,-1.2953832,-0.80756165,-5.9514744,-0.87939396,-0.90887034,-0.74760357,-0.74774245,-1.2858183,-0.99791715,-3.4774726,-0.75780811,-0.79244029,-0.74925088,-1.7223404,-0.99351076,-0.85097739,-0.96377966,-1.3046722,-0.99214608,-1.6188068,-0.74644795,-0.87536927,-0.7478591,-2.0640918,-0.7385364,-1.1595933,-0.812708,-0.96383328,-1.4323202,-1.1119134,-0.8408675,-0.86956231,-0.81856504,-1.8667772,-0.83916078,-0.79230019,-0.74059147,-0.74030361,-1.0608387,-1.0846488
-15.921254,0.89937018,0.47891757,2,5,0,17.702663,-0.011052079,0.020364317,-0.60704917,0.71986073,-2.2127409,-1.772642,-0.82837016,-2.0140144,-0.87833635,-1.3208595,-1.3024847,-0.61852609,-0.59337597,-0.79071083,-1.4076093,-0.71804973,-6.6418346,-0.77905651,-0.89336321,-0.59138425,-0.59040933,-1.5302745,-1.0027228,-4.5835692,-0.60950294,-0.62553029,-0.59479361,-1.7569748,-1.0193893,-0.68040546,-0.8088807,-1.1971892,-0.96086895,-1.8169481,-0.61706273,-0.85313297,-0.59235857,-2.269836,-0.59220483,-1.3597728,-0.73121456,-0.87730423,-1.4208613,-1.038233,-0.79013043,-0.86978874,-0.64669588,-1.7639512,-0.74123766,-0.65293276,-0.59995496,-0.61224643,-0.95582415,-0.95468828
-17.846543,0.93561143,0.47891757,2,3,0,17.971422,-0.043619087,0.036337858,-0.44786918,0.66804141,-2.7920732,-2.1943685,-0.86824218,-2.8561206,-0.92572657,-1.4925137,-1.6625184,-0.5702996,-0.77469556,-0.74690521,-1.5573769,-0.75239733,-5.6005448,-0.82031733,-0.97400025,-0.52200906,-0.53938741,-2.0527336,-1.0709129,-5.22608,-0.51607586,-0.52120111,-0.52029756,-1.8182517,-1.1214658,-0.56430635,-0.68713038,-1.0255237,-0.88109476,-2.3606605,-0.57511213,-1.1897645,-0.51653021,-2.177612,-0.5195281,-1.9255073,-0.71963929,-0.95648786,-1.0758972,-1.0406942,-0.84940066,-1.038387,-0.52808431,-1.1588326,-0.64163892,-0.59614886,-0.5398117,-0.62300657,-0.92183755,-0.68527438
-17.601802,0.8545327,0.47891757,3,7,0,19.897401,-0.092299541,0.099767412,-0.5895464,0.70226415,-2.5153504,-1.7419177,-0.90387218,-1.9993882,-0.77490177,-1.3606657,-1.1156772,-0.59147329,-0.56604816,-0.66566472,-1.504299,-0.72341451,-6.911279,-0.67466204,-0.99818733,-0.56623487,-0.56722656,-1.6669694,-1.1014623,-5.6936383,-0.62532328,-0.67473767,-0.5725187,-1.4258558,-1.1646488,-0.60071851,-0.69401843,-1.0508754,-1.1540147,-1.4966634,-0.62663211,-0.73134618,-0.5666241,-2.4550629,-0.60212898,-1.4245659,-0.80854343,-0.71378914,-1.7607388,-0.88674541,-0.86451451,-0.98917829,-0.5974706,-1.9801241,-0.86396164,-0.60079111,-0.59044014,-0.60747288,-0.79600809,-1.1036459
-17.813388,0.72451561,0.47891757,2,3,0,20.10365,-0.026918074,-0.23970347,-0.51919737,0.77359343,-2.2344209,-2.7644768,-0.90887627,-3.3241796,-1.0181591,-1.7535992,-1.7843452,-0.66232273,-0.8421053,-1.0458709,-1.6424099,-0.66759282,-3.6705483,-1.0097465,-0.94316189,-0.67477812,-0.7001742,-1.9351742,-1.0879905,-2.7292447,-0.66476437,-0.7191831,-0.75033804,-2.3726369,-1.0097942,-0.77136975,-0.91100465,-1.152785,-0.76408797,-2.7793382,-0.70271204,-1.3371304,-0.66238448,-1.1959461,-0.68825185,-2.027182,-0.74713692,-1.3685065,-0.82538335,-1.2348698,-0.87288927,-0.92947053,-0.66641604,-0.71153973,-0.67015143,-0.70917582,-0.70090181,-0.78554551,-1.2193588,-0.71747586
