# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = model_code_5x463_model
# start_datetime = 2026-03-04 06:24:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/lukew/AppData/Local/Temp/Rtmp6HfTLc/standata-35b4146417c6.json
# init = 2 (Default)
# random
#   seed = 1483992606
# output
#   file = C:/Users/lukew/AppData/Local/Temp/Rtmp6HfTLc/model_code_5.3-202603040024-2-21cdbe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = C:/Users/lukew/AppData/Local/Temp/Rtmp6HfTLc/model_code_5.3-profile-202603040024-2-979bcf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --name=model_code_5.3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1,b2,sigma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50
# Adaptation terminated
# Step size = 0.557204
# Diagonal elements of inverse mass matrix:
# 0.0101196, 0.0239777, 0.0234499, 0.00991626
-16.664545,0.9995028,0.5572036,3,7,0,19.633125,-0.076478501,-0.033930892,-0.49938139,0.70805215,-2.6093876,-2.3392182,-0.91718907,-2.8836589,-0.88655502,-1.6004887,-1.5133965,-0.5858502,-0.69017468,-0.78922012,-1.6267262,-0.6654748,-5.0163157,-0.81364141,-0.99777583,-0.58521346,-0.60315855,-1.988051,-1.1191587,-4.4650668,-0.57900283,-0.57398141,-0.58088718,-1.8344446,-1.1238167,-0.62312068,-0.73569496,-1.0327294,-0.89979194,-2.2092386,-0.64020711,-1.0722649,-0.57653601,-1.7684544,-0.5755705,-1.902714,-0.76240599,-0.9778032,-1.1115283,-1.0277272,-0.88611297,-1.0179532,-0.58052398,-1.0126949,-0.68541254,-0.61933625,-0.61259561,-0.6873143,-0.94855324,-0.62986571
-16.233251,0.97392307,0.5572036,3,7,0,17.963214,-0.027753,-0.15098049,-0.81820461,0.77005816,-1.850296,-1.9630261,-0.85091055,-1.9069503,-0.82749212,-1.4666781,-1.0898531,-0.66213108,-0.84378537,-0.88639801,-1.501752,-0.65777717,-6.8762554,-0.76993998,-0.87091903,-0.66134817,-0.66386596,-1.3179587,-1.0319986,-3.4243697,-0.72744549,-0.81255525,-0.67824531,-1.9927958,-0.96501254,-0.81674542,-0.95339919,-1.3568912,-0.97048581,-1.6250248,-0.67744028,-0.7131087,-0.66269389,-1.7411003,-0.65909576,-1.1908545,-0.75227494,-0.92142021,-1.6378108,-1.067052,-0.78863427,-0.77796593,-0.73745918,-1.7264237,-0.78483137,-0.67978785,-0.676346,-0.66344006,-1.0573905,-0.81725862
-21.588415,0.73788759,0.5572036,2,3,0,23.074706,0.30341036,-0.24965872,-0.749519,0.73486018,-1.3642113,-1.7582041,-0.63651594,-1.8274109,-1.2759238,-1.1399048,-1.9682775,-0.65201867,-0.62542535,-1.4500705,-1.1035781,-0.66473947,-7.5698203,-1.2121571,-0.6419231,-0.70882007,-0.69825044,-1.0355163,-0.72839239,-2.1499902,-0.63438954,-0.63161926,-0.94469881,-3.3761495,-0.67611794,-1.1738944,-1.4390945,-1.9868154,-0.63115625,-3.0746615,-0.6335405,-1.2083362,-0.74564077,-2.0621045,-0.8151106,-1.0034683,-0.61142953,-1.6672066,-0.83828994,-1.7299929,-0.61798257,-0.61609932,-0.89672237,-1.6481461,-0.61771314,-0.84445279,-0.62909815,-0.62795869,-1.7496019,-0.75082446
-20.354912,1,0.5572036,1,1,0,21.664922,0.28370326,-0.21450894,-0.77554649,0.75705762,-1.3553769,-1.6218426,-0.66861241,-1.64145,-1.2028917,-1.1143008,-1.7562619,-0.67812348,-0.64066603,-1.3414147,-1.1024567,-0.69432332,-7.6481346,-1.1259541,-0.67494802,-0.73682301,-0.73444814,-1.0107838,-0.75893681,-2.2959214,-0.64880209,-0.64194262,-0.89507486,-3.0410381,-0.71268144,-1.138682,-1.3766992,-1.9142489,-0.6809341,-2.6772573,-0.65890275,-1.0727795,-0.76126867,-2.1354148,-0.79092405,-0.95694074,-0.6406452,-1.4850203,-0.9626487,-1.6094512,-0.64900471,-0.64672573,-0.92072742,-1.8639403,-0.64079915,-0.8407054,-0.65669999,-0.66227386,-1.6156267,-0.86386807
-15.813133,0.94778853,0.5572036,2,3,0,21.479001,0.039728276,-0.040277457,-0.58303772,0.89371663,-1.803399,-1.6586487,-0.93553131,-1.8615686,-1.0532975,-1.2916711,-1.4175363,-0.82796412,-0.83597366,-1.0049905,-1.3184782,-0.88530628,-4.4401663,-0.99371295,-0.97037573,-0.80816494,-0.80666106,-1.4248027,-1.0424038,-2.9986729,-0.80745178,-0.80694329,-0.82773251,-1.756772,-1.0380073,-0.89314323,-0.99301289,-1.247728,-0.96311889,-1.8563073,-0.81641865,-1.0883942,-0.8112262,-1.7853613,-0.80895776,-1.3515647,-0.86794501,-1.1046901,-1.1624142,-1.1787013,-0.91330366,-0.95845209,-0.84697428,-1.3704174,-0.85192856,-0.86526301,-0.80991377,-0.82139788,-1.1289264,-0.9393431
-17.128567,0.91018313,0.5572036,3,7,0,18.191616,-0.037212054,0.058863731,-0.32320505,0.80496651,-2.4246073,-1.9434361,-0.96069901,-2.6222387,-1.0590557,-1.3878896,-1.7319244,-0.77140481,-1.2445445,-0.87759708,-1.4154511,-0.961024,-3.4422102,-0.98880668,-1.0490299,-0.71442115,-0.74401351,-1.9628147,-1.0912014,-3.9404042,-0.70947754,-0.77011239,-0.70754135,-1.6033983,-1.1468551,-0.72187699,-0.7979768,-0.99145267,-0.90290367,-2.2649323,-0.74942777,-1.4700332,-0.70450952,-1.7908091,-0.70374021,-1.9257812,-0.84667639,-1.0923401,-0.90745613,-1.0951302,-0.96612694,-1.155425,-0.70292176,-0.93063464,-0.75670973,-0.77691682,-0.71902541,-0.82335335,-0.99477551,-0.7593166
-16.801674,0.96347145,0.5572036,3,7,0,21.046703,0.049937435,-0.23255263,-0.70681315,0.6997739,-1.9860869,-2.4768978,-0.7488156,-2.6547574,-0.94825671,-1.5958702,-1.5765867,-0.56205192,-0.56213315,-1.0571604,-1.5411794,-0.5634428,-6.5202638,-0.89942143,-0.76888868,-0.56509429,-0.56265723,-1.5115435,-0.94544177,-3.0490098,-0.56554979,-0.56350839,-0.68178339,-2.7428484,-0.85020756,-0.82122811,-1.0242644,-1.4656986,-0.71826302,-2.5929964,-0.57307117,-0.94871584,-0.57596298,-1.5876206,-0.60704415,-1.4734773,-0.61884383,-1.2649978,-1.0600134,-1.2974899,-0.6919378,-0.6951648,-0.64147062,-1.1410893,-0.58651566,-0.63225962,-0.57489405,-0.58322857,-1.3011383,-0.57648232
